ID_Ra;Navn;CO2;Energi;Fedt;Kulhydrat;Protein
Ra00331;Melon. honeydew. raw;0.60;113;0.2;5.4;0.6
Ra00332;Lime. raw;0.60;155;0.2;7.7;0.7
Ra00333;Pineapple. raw;0.56;234;0.4;10.8;0.5
Ra00334;Mango. raw;1.01;282;0.5;14.2;0.5
Ra00335;Grapefruit. raw;0.77;185;0.3;7;0.9
Ra00336;Tangerine. raw;0.65;201;0;8.3;0.8
Ra00337;Kiwi fruit. raw;0.75;263;0.8;11.7;1
Ra00338;Turkey. breast. boiled/smoked. sliced;4.35;453;1.8;1.7;21
Ra00339;Turkey. flesh only. raw;4.71;444;2.2;0;21.3
Ra00340;Turkey. mince. 5-10% fat. raw;4.68;657;8.5;0;20.1
Ra00341;Milk. whole. 3.5 % fat;0.50;264;3.5;4.6;3.4
Ra00342;Milk. partly skimmed. 1.5 % fat;0.45;200;1.6;4.7;3.4
Ra00343;Milk. skimmed. 0.5 % fat;0.41;158;0.5;4.8;3.4
Ra00344;Milk. skimmed. with chocolate (UHT);0.73;251;0.5;9.3;3.5
Ra00345;Cream. whipping. 38 % fat;1.73;1484;38;3;2.1
Ra00346;Veal. medium fat. raw;74.84;768;11.3;0;20
Ra00347;Peanut butter;3.83;2636;53.7;12.2;26.1
Ra00348;Sunflower oil;2.79;3700;100;0;0
Ra00349;Olive oil;5.89;3700;100;0;0
Ra00350;Oil. rape seed (no eruca acid);3.33;3700;100;0;0
Ra00351;Onions. chopped and deepfried;4.25;2374;48;22.1;6
Ra00352;Potato crisps. coarse;4.24;2081;26.4;57.2;6.1
Ra00353;Tofu. soy bean curd;2.09;316;4.2;1.2;7.8
Ra00354;Lentils. sprouted. raw;3.00;522;0.6;19.1;9
Ra00355;Cabbage. red. canned. no sugar added;0.79;82;0.1;2.9;0.5
Ra00356;Tomatojuice. canned;1.06;79;0.1;3.3;0.8
Ra00357;Gherkin. pickled;3.07;59;0.2;2.1;0.3
Ra00358;Potatoes. mashed. instant powder with dry milk;5.38;1408;1.1;62.5;10.9
Ra00359;Pepper. hot chili. canned;1.51;112;0.1;4.9;0.9
Ra00360;Cucumber. large. pickled;3.07;311;0.5;16.5;0.5
Ra00361;Tomato. peeled. canned;1.06;90;0.3;3;1.2
Ra00362;Beet. red. canned;0.86;255;0.3;11.9;1
Ra00363;Potato. canned;0.99;236;0.2;10.9;1.4
Ra00364;Potato crisps;4.24;2221;31.9;44.9;5.4
Ra00365;Bamboo shoots. canned. nonsalted;1.37;106;0.1;3.2;2.6
Ra00366;Mushroom. canned;0.62;92;0.5;0;2.5
Ra00367;French fries. deepfried. fast food;2.85;1300;14.8;39;3.7
Ra00368;Tomato paste. concentrated;2.67;375;0.5;14.8;4.3
Ra00369;Tomato ketchup. bottled;2.12;479;2.4;18.4;3
Ra00370;Beans. baked i tomato sauce. canned;1.72;371;0.5;9.6;5.1
Ra00371;Potato flour;1.68;1455;0.1;85;0.2
Ra00372;Peas. green. canned;2.36;314;0.8;7.7;5.9
Ra00373;Soya sauce;1.88;237;0;7;6.9
Ra00374;Sauce. barbeque;2.26;623;0.3;35.8;0
Ra00375;Wine. white. average values;1.65;344;0;2.6;0.1
Ra00376;Wine. rosé;1.65;297;0;1.4;0.2
Ra00377;Wine. red;1.65;321;0;0.3;0.2
Ra00378;Wine. white. sparkling. champagne;1.65;316;0;1.4;0.3
Ra00379;Yeast. baker`s. compressed;1.18;479;1.9;0;8.4
Ra00380;Cocktail sausages;2.16;1349;28;3.4;15
Ra00381;Pesto;4.24;1547;35;10;4.7
Ra00382;Lasagne. beef. ready meals;12.16;521;5.3;12;6.8
Ra00383;Lasagne. vegetarian. ready meals;1.53;324;3;9.5;2.6
Ra00384;Daal. ready meals;2.11;448;2.8;14;5.6
Ra00385;Sushi. ready meals;2.30;718;5.6;23;6.7
Ra00386;Minced chicken;5.71;621;8.5;0;18
Ra00387;Pizza dough;1.07;935;1.4;44.2;6.8
